port_type.keys,port_type.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,choice.keys,choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prompt,opt_a,opt_b,correct,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
1,34.5574,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,,,,,,,,,,,,,,,,,,,,,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,1,17.8935,0,0,0,5,1,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso),pais afetuosos,afetuosos pais,opt_a,,,,,,,,,,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,0,19.0619,0,1,1,2,1,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,,,,,,,,,,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,1,26.7249,0,2,2,7,1,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)",pais orgulhosos,orgulhosos pais,opt_a,,,,,,,,,,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,0,19.6978,0,3,3,0,1,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)",super-heróis valentes,valentes super-heróis,opt_b,,,,,,,,,,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,1,7.1267,0,4,4,9,1,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,,,,,,,,,,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,1,8.4875,0,5,5,6,1,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,,,,,,,,,,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,0,8.0077,0,6,6,1,1,Esse livro é a edição do ano passado - precisamos do ________,Livro novo,livro novo,opt_b,,,,,,,,,,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,0,12.6116,0,7,7,4,1,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,,,,,,,,,,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,0,8.0616,0,8,8,3,1,O professor ensina dois cursos que você pode fazer. Há _______________.,opções várias,várias opções,opt_b,,,,,,,,,,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,1,13.8623,0,9,9,8,1,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)",estudantes estudiosos,estudiosos estudantes,opt_a,,,,,,,,,,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,,,,,,,,,,,,space,1.9954,,,,,,,,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,,,,,,,,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,,,0,14.3416,0,0,0,8,1,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,,,,,,,,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_a,,,1,5.3675,0,1,1,5,1,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,,,,,,,,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,,,0,16.2557,0,2,2,6,1,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,,,,,,,,Marta é a pessoa única de quem falei.,"Não há ninguém (tão especial) quanto Marta, que eu te disse.","Não contei a você sobre mais ninguém, além de Marta.",opt_b,,,0,15.8281,0,3,3,4,1,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,,,,,,,,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,,,1,17.3032,0,4,4,2,1,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,,,,,,,,O próprio presidente conversou com a classe.,"O presidente, e não outra pessoa, conversou com a classe.",O presidente que já havia falado com a classe.,opt_a,,,0,10.1872,0,5,5,9,1,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,,,,,,,,A pintura grande é muito cara.,A pintura é impressionante e custa muito dinheiro,A pintura é enorme e custa muito dinheiro,opt_b,,,1,12.1135,0,6,6,0,1,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,,,,,,,,Meu amigo velho vem comer conosco,Meu amigo é meu amigo há muitos anos,Meu amigo não é jovem.,opt_b,,,1,11.3536,0,7,7,1,1,,
,,613a8378db0ae11b02001c49,001,2022-09-16_15h50.01.085,rothman_exp,2022.2.3,Win32,60.50704907,,,,,,,,Seus pais falam uma rara língua.,Eles falam uma linguagem estranha.,Eles falam um idioma que muito poucas pessoas falam.,opt_b,,,0,11.8336,0,8,8,3,1,,
