port_type.keys,port_type.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,choice.keys,choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prompt,opt_a,opt_b,correct,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
0,4.7686,nish,001,2022-09-19_19h20.24.427,rothman_exp,2022.2.3,Win32,10.28732499,,,,,,,,,,,,,,,,,,,,,,
,,nish,001,2022-09-19_19h20.24.427,rothman_exp,2022.2.3,Win32,10.28732499,1,18.8911,0,0,0,2,1,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,,,,,,,,,,,
,,nish,001,2022-09-19_19h20.24.427,rothman_exp,2022.2.3,Win32,10.28732499,0,47.8579,0,1,1,8,1,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)",estudantes estudiosos,estudiosos estudantes,opt_a,,,,,,,,,,,
,,nish,001,2022-09-19_19h20.24.427,rothman_exp,2022.2.3,Win32,10.28732499,0,2.7137,0,2,2,3,1,O professor ensina dois cursos que você pode fazer. Há _______________.,opções várias,várias opções,opt_b,,,,,,,,,,,
,,nish,001,2022-09-19_19h20.24.427,rothman_exp,2022.2.3,Win32,10.28732499,1,3.2374,0,3,3,9,1,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,,,,,,,,,,,
,,nish,001,2022-09-19_19h20.24.427,rothman_exp,2022.2.3,Win32,10.28732499,0,5.3326,0,4,4,1,1,Esse livro é a edição do ano passado - precisamos do ________,Livro novo,livro novo,opt_b,,,,,,,,,,,
,,nish,001,2022-09-19_19h20.24.427,rothman_exp,2022.2.3,Win32,10.28732499,1,6.3382,0,5,5,5,1,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso),pais afetuosos,afetuosos pais,opt_a,,,,,,,,,,,
,,nish,001,2022-09-19_19h20.24.427,rothman_exp,2022.2.3,Win32,10.28732499,1,13.5924,0,6,6,7,1,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)",pais orgulhosos,orgulhosos pais,opt_a,,,,,,,,,,,
,,nish,001,2022-09-19_19h20.24.427,rothman_exp,2022.2.3,Win32,10.28732499,1,13.6933,0,7,7,0,1,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)",super-heróis valentes,valentes super-heróis,opt_b,,,,,,,,,,,
,,nish,001,2022-09-19_19h20.24.427,rothman_exp,2022.2.3,Win32,10.28732499,0,8.4902,0,8,8,4,1,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,,,,,,,,,,,
